cap.english,cap.universal,display_scores.english.astroturf,display_scores.english.fake_follower,display_scores.english.financial,display_scores.english.other,display_scores.english.overall,display_scores.english.self_declared,display_scores.english.spammer,display_scores.universal.astroturf,display_scores.universal.fake_follower,display_scores.universal.financial,display_scores.universal.other,display_scores.universal.overall,display_scores.universal.self_declared,display_scores.universal.spammer,raw_scores.english.astroturf,raw_scores.english.fake_follower,raw_scores.english.financial,raw_scores.english.other,raw_scores.english.overall,raw_scores.english.self_declared,raw_scores.english.spammer,raw_scores.universal.astroturf,raw_scores.universal.fake_follower,raw_scores.universal.financial,raw_scores.universal.other,raw_scores.universal.overall,raw_scores.universal.self_declared,raw_scores.universal.spammer,user.majority_lang,user.user_data.id_str,user.user_data.screen_name
0.8748575042966269,0.8169336709169681,0.4,2.8,1.0,4.6,4.6,1.4,1.4,0.5,2.4,0.8,4.0,4.0,2.5,1.1,0.08,0.5633333333333332,0.19,0.91,0.91,0.28,0.28,0.1,0.48,0.15,0.79,0.79,0.5,0.22,ar,1496412822334496770,LinkedinSaudi
0.8912318555080615,0.8091273704655436,1.0,2.9,1.8,4.6,4.6,0.6,0.6,0.8,2.0,1.5,3.7,3.7,0.7,0.4,0.2,0.59,0.37,0.93,0.93,0.11,0.13,0.15,0.4,0.3,0.74,0.74,0.14,0.07,ar,1473008659630338057,ratel_42
0.8595061719862279,0.8148417533461276,0.4,3.4,0.8,4.4,4.4,1.4,1.4,0.4,2.8,1.2,3.9,3.9,2.2,1.4,0.08,0.69,0.17,0.89,0.89,0.29,0.29,0.09,0.55,0.23,0.78,0.78,0.44,0.29,ar,1517201743590875136,Reemsa_tw
0.8287549877594508,0.8148417533461276,1.0,1.8,0.8,4.2,4.2,0.4,0.4,0.9,1.1,1.5,3.9,3.9,0.2,0.3,0.2,0.36,0.16,0.84,0.84,0.09,0.07,0.18,0.22,0.3,0.78,0.78,0.03,0.06,ar,351830253,MhdZahrani
0.8339181685112829,0.8252572897541253,0.6,3.2,0.8,4.2,4.2,1.2,1.1,0.5,2.5,1.0,4.1,4.1,2.6,1.0,0.11,0.64,0.16,0.85,0.85,0.25,0.22,0.1,0.5,0.19,0.82,0.82,0.51,0.2,ar,1496517840521809922,TRTSAUDI
0.7998362042473794,0.8053429027352532,0.6,2.0,0.5,3.6,3.6,0.4,0.9,0.6,1.4,0.2,2.8,2.8,0.6,1.3,0.12,0.41,0.1,0.73,0.73,0.08,0.18,0.12,0.28,0.04,0.57,0.57,0.12,0.26,ar,1496550498081689600,TYTSAUDI
0.7973765977480777,0.8064216072785402,2.1,3.3,0.3,3.4,3.4,2.9,1.2,1.8,3.2,0.4,3.5,3.5,2.7,1.4,0.42,0.66,0.06,0.69,0.69,0.58,0.24,0.36,0.65,0.07,0.7,0.7,0.54,0.27,und,1202981000482975744,BilalAn79539890
0.8595061719862279,0.8327856038833207,0.4,4.1,1.3,4.4,4.4,0.5,1.9,0.2,4.2,0.5,4.1,4.2,0.6,1.8,0.08,0.82,0.26,0.89,0.89,0.1,0.38,0.05,0.84,0.1,0.83,0.84,0.13,0.35,ar,1447671671985512449,Mido05888829
0.8995513244218455,0.8052109974132647,0.5,3.4,0.6,4.7,4.7,0.8,1.6,0.7,3.1,0.6,2.8,3.1,0.4,1.6,0.1,0.67,0.12,0.94,0.94,0.16,0.31,0.14,0.62,0.11,0.55,0.62,0.08,0.33,ar,1523393057768579074,ali58624552
0.8008799175144752,0.8030212452554465,0.5,1.8,0.4,3.7,3.7,0.8,1.2,0.6,1.6,0.2,2.8,2.0,0.8,1.2,0.1,0.36,0.07,0.74,0.74,0.17,0.24,0.11,0.31,0.04,0.55,0.4,0.16,0.23,ar,1491742212350255106,JopsRr
